# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Lon,Lat,Mag,poe
26.25,35.35,5.125,0.0
26.25,35.35,5.375,0.0
26.25,35.35,5.625,0.0
26.25,35.35,5.875,0.0
26.25,35.35,6.125,0.0
26.25,35.35,6.375,0.0
26.25,35.35,6.625,0.0
26.25,35.35,6.875,0.0
26.25,35.35,7.125,0.0
26.25,35.35,7.375,0.0
26.25,35.35,7.625,0.0
26.25,35.35,7.875,0.0
26.25,35.35,8.125,0.0
26.25,35.35,8.375,0.0
26.25,35.45,5.125,0.0
26.25,35.45,5.375,0.0
26.25,35.45,5.625,0.0
26.25,35.45,5.875,0.0
26.25,35.45,6.125,0.0
26.25,35.45,6.375,0.0
26.25,35.45,6.625,0.0
26.25,35.45,6.875,0.0
26.25,35.45,7.125,0.0
26.25,35.45,7.375,0.0
26.25,35.45,7.625,0.0
26.25,35.45,7.875,0.0
26.25,35.45,8.125,0.0
26.25,35.45,8.375,0.0
26.25,35.55,5.125,0.0
26.25,35.55,5.375,0.0
26.25,35.55,5.625,0.0
26.25,35.55,5.875,0.0
26.25,35.55,6.125,0.0
26.25,35.55,6.375,0.0
26.25,35.55,6.625,0.0
26.25,35.55,6.875,0.0
26.25,35.55,7.125,0.0
26.25,35.55,7.375,0.0
26.25,35.55,7.625,0.0
26.25,35.55,7.875,0.0
26.25,35.55,8.125,0.0
26.25,35.55,8.375,0.0
26.25,35.65,5.125,0.0
26.25,35.65,5.375,0.0
26.25,35.65,5.625,0.0
26.25,35.65,5.875,0.0
26.25,35.65,6.125,0.0
26.25,35.65,6.375,0.0
26.25,35.65,6.625,0.0
26.25,35.65,6.875,0.0
26.25,35.65,7.125,0.0
26.25,35.65,7.375,0.0
26.25,35.65,7.625,0.0
26.25,35.65,7.875,0.0
26.25,35.65,8.125,0.0
26.25,35.65,8.375,0.0
26.25,35.75,5.125,0.0
26.25,35.75,5.375,0.0
26.25,35.75,5.625,0.0
26.25,35.75,5.875,0.0
26.25,35.75,6.125,0.0
26.25,35.75,6.375,0.0
26.25,35.75,6.625,0.0
26.25,35.75,6.875,0.0
