# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,poe
5.125,5.0,0.0
5.125,15.0,0.0
5.125,25.0,0.0
5.125,35.0,0.0
5.125,45.0,0.0
5.125,55.0,0.0
5.125,65.0,0.0
5.125,75.0,0.0
5.125,85.0,0.0
5.125,95.0,0.0
5.125,105.0,0.0
5.125,115.0,0.0
5.125,125.0,0.0
5.125,135.0,0.0
5.125,145.0,0.0
5.125,155.0,0.0
5.125,165.0,0.0
5.125,175.0,0.0
5.125,185.0,0.0
5.125,195.0,0.0
5.375,5.0,4.993790635e-05
5.375,15.0,0.0
5.375,25.0,0.0
5.375,35.0,0.0
5.375,45.0,0.0
5.375,55.0,0.0
5.375,65.0,0.0
5.375,75.0,0.0
5.375,85.0,0.0
5.375,95.0,0.0
5.375,105.0,0.0
5.375,115.0,0.0
5.375,125.0,0.0
5.375,135.0,0.0
5.375,145.0,0.0
5.375,155.0,0.0
5.375,165.0,0.0
5.375,175.0,0.0
5.375,185.0,0.0
5.375,195.0,0.0
5.625,5.0,0.0006306538735
5.625,15.0,2.409784667e-05
5.625,25.0,0.0
5.625,35.0,0.0
5.625,45.0,0.0
5.625,55.0,0.0
5.625,65.0,0.0
5.625,75.0,0.0
5.625,85.0,0.0
5.625,95.0,0.0
5.625,105.0,0.0
5.625,115.0,0.0
5.625,125.0,0.0
5.625,135.0,0.0
5.625,145.0,0.0
5.625,155.0,0.0
5.625,165.0,0.0
5.625,175.0,0.0
5.625,185.0,0.0
5.625,195.0,0.0
5.875,5.0,0.001107983441
5.875,15.0,0.0001800761806
5.875,25.0,4.179168331e-05
5.875,35.0,0.0
5.875,45.0,0.0
5.875,55.0,0.0
5.875,65.0,0.0
5.875,75.0,0.0
5.875,85.0,0.0
5.875,95.0,0.0
5.875,105.0,0.0
5.875,115.0,0.0
5.875,125.0,0.0
5.875,135.0,0.0
5.875,145.0,0.0
5.875,155.0,0.0
5.875,165.0,0.0
5.875,175.0,0.0
5.875,185.0,0.0
5.875,195.0,0.0
6.125,5.0,0.002171824881
6.125,15.0,0.0007112879705
6.125,25.0,0.001387911826
6.125,35.0,0.0002022325925
6.125,45.0,4.415726857e-06
6.125,55.0,8.025106962e-07
6.125,65.0,0.0
6.125,75.0,0.0
6.125,85.0,0.0
6.125,95.0,0.0
6.125,105.0,0.0
6.125,115.0,0.0
6.125,125.0,0.0
6.125,135.0,0.0
6.125,145.0,0.0
6.125,155.0,0.0
6.125,165.0,0.0
6.125,175.0,0.0
6.125,185.0,0.0
6.125,195.0,0.0
6.375,5.0,0.001093353083
6.375,15.0,0.000434720136
6.375,25.0,0.001773555548
6.375,35.0,0.0001288456799
6.375,45.0,2.134575722e-05
6.375,55.0,1.291389206e-05
6.375,65.0,4.392702657e-08
6.375,75.0,0.0
6.375,85.0,0.0
6.375,95.0,0.0
6.375,105.0,0.0
6.375,115.0,0.0
6.375,125.0,0.0
6.375,135.0,0.0
6.375,145.0,0.0
6.375,155.0,0.0
6.375,165.0,0.0
6.375,175.0,0.0
6.375,185.0,0.0
6.375,195.0,0.0
6.625,5.0,0.0009524423111
6.625,15.0,0.0004303356529
6.625,25.0,0.003043261711
6.625,35.0,0.0001034412036
6.625,45.0,0.0001657601173
6.625,55.0,4.634927277e-05
6.625,65.0,4.447060282e-05
6.625,75.0,5.408173669e-05
6.625,85.0,5.545631044e-05
6.625,95.0,4.896064855e-05
6.625,105.0,4.059255972e-05
6.625,115.0,3.181315695e-05
6.625,125.0,2.183363417e-05
6.625,135.0,1.519849929e-05
6.625,145.0,1.045514139e-05
6.625,155.0,7.280995274e-06
6.625,165.0,4.026208808e-06
6.625,175.0,4.015510982e-07
6.625,185.0,0.0
6.625,195.0,0.0
6.875,5.0,0.0003967231552
6.875,15.0,0.0001689067753
6.875,25.0,0.002037735427
6.875,35.0,0.0001525785906
6.875,45.0,0.0003839705245
6.875,55.0,0.0001654815274
6.875,65.0,0.0001495201659
6.875,75.0,0.0001591508633
6.875,85.0,0.0001597008113
6.875,95.0,0.0001433674184
6.875,105.0,0.0001293005374
6.875,115.0,0.0001094034997
6.875,125.0,8.778793443e-05
6.875,135.0,7.797550266e-05
6.875,145.0,6.497240507e-05
6.875,155.0,5.595301312e-05
6.875,165.0,4.125407432e-05
6.875,175.0,3.949065046e-06
6.875,185.0,1.891961343e-08
6.875,195.0,4.431962919e-08
7.125,5.0,0.000152997822
7.125,15.0,6.213105292e-05
7.125,25.0,0.002541348397
7.125,35.0,0.0003468016123
7.125,45.0,0.001064507216
7.125,55.0,0.0005360648823
7.125,65.0,0.0005290745597
7.125,75.0,0.0005329912348
7.125,85.0,0.0005792425595
7.125,95.0,0.0005277201809
7.125,105.0,0.0004735775761
7.125,115.0,0.0004783115892
7.125,125.0,0.0003345853534
7.125,135.0,0.000334565015
7.125,145.0,0.0002694191952
7.125,155.0,0.0002615582438
7.125,165.0,0.0001511431945
7.125,175.0,2.612628455e-05
7.125,185.0,1.351547865e-05
7.125,195.0,1.129488119e-05
7.375,5.0,0.0
7.375,15.0,0.0
7.375,25.0,0.001314311955
7.375,35.0,0.000516107425
7.375,45.0,0.0008300187792
7.375,55.0,0.000473486261
7.375,65.0,0.0005311451618
7.375,75.0,0.0005612854176
7.375,85.0,0.0006171862526
7.375,95.0,0.0005876104633
7.375,105.0,0.0005400293831
7.375,115.0,0.0005962633714
7.375,125.0,0.0004023907095
7.375,135.0,0.0004382364289
7.375,145.0,0.0003411583259
7.375,155.0,0.000366943659
7.375,165.0,0.0001249699996
7.375,175.0,7.144337751e-05
7.375,185.0,3.518630105e-05
7.375,195.0,4.285193645e-05
7.625,5.0,0.0
7.625,15.0,0.0
7.625,25.0,0.001400391804
7.625,35.0,0.0008494279162
7.625,45.0,0.001380169575
7.625,55.0,0.00101859256
7.625,65.0,0.001072371192
7.625,75.0,0.001025103637
7.625,85.0,0.001195353451
7.625,95.0,0.001093436385
7.625,105.0,0.001162368517
7.625,115.0,0.001208161584
7.625,125.0,0.0008805997223
7.625,135.0,0.0009333666512
7.625,145.0,0.0007766955843
7.625,155.0,0.0006995589538
7.625,165.0,0.000202659523
7.625,175.0,0.0002017754372
7.625,185.0,0.0001016357499
7.625,195.0,0.0001456368313
7.875,5.0,0.0
7.875,15.0,0.0
7.875,25.0,0.0006272550876
7.875,35.0,0.0009271414597
7.875,45.0,0.0007844702192
7.875,55.0,0.0007122352189
7.875,65.0,0.0008844771472
7.875,75.0,0.0006915714129
7.875,85.0,0.000990825516
7.875,95.0,0.0007641667489
7.875,105.0,0.0009022014811
7.875,115.0,0.00102466736
