# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,Eps,poe
5.125,5.0,-2.0,0.0
5.125,5.0,0.0,0.0
5.125,5.0,2.0,0.0
5.125,15.0,-2.0,0.0
5.125,15.0,0.0,0.0
5.125,15.0,2.0,0.0
5.125,25.0,-2.0,0.0
5.125,25.0,0.0,0.0
5.125,25.0,2.0,0.0
5.125,35.0,-2.0,0.0
5.125,35.0,0.0,0.0
5.125,35.0,2.0,0.0
5.125,45.0,-2.0,0.0
5.125,45.0,0.0,0.0
5.125,45.0,2.0,0.0
5.125,55.0,-2.0,0.0
5.125,55.0,0.0,0.0
5.125,55.0,2.0,0.0
5.125,65.0,-2.0,0.0
5.125,65.0,0.0,0.0
5.125,65.0,2.0,0.0
5.125,75.0,-2.0,0.0
5.125,75.0,0.0,0.0
5.125,75.0,2.0,0.0
5.125,85.0,-2.0,0.0
5.125,85.0,0.0,0.0
5.125,85.0,2.0,0.0
5.125,95.0,-2.0,0.0
5.125,95.0,0.0,0.0
5.125,95.0,2.0,0.0
5.125,105.0,-2.0,0.0
5.125,105.0,0.0,0.0
5.125,105.0,2.0,0.0
5.125,115.0,-2.0,0.0
5.125,115.0,0.0,0.0
5.125,115.0,2.0,0.0
5.125,125.0,-2.0,0.0
5.125,125.0,0.0,0.0
5.125,125.0,2.0,0.0
5.125,135.0,-2.0,0.0
5.125,135.0,0.0,0.0
5.125,135.0,2.0,0.0
5.125,145.0,-2.0,0.0
5.125,145.0,0.0,0.0
5.125,145.0,2.0,0.0
5.125,155.0,-2.0,0.0
5.125,155.0,0.0,0.0
5.125,155.0,2.0,0.0
5.125,165.0,-2.0,0.0
5.125,165.0,0.0,0.0
5.125,165.0,2.0,0.0
5.125,175.0,-2.0,0.0
5.125,175.0,0.0,0.0
5.125,175.0,2.0,0.0
5.125,185.0,-2.0,0.0
5.125,185.0,0.0,0.0
5.125,185.0,2.0,0.0
5.125,195.0,-2.0,0.0
5.125,195.0,0.0,0.0
5.125,195.0,2.0,0.0
5.375,5.0,-2.0,0.0
5.375,5.0,0.0,0.0
5.375,5.0,2.0,4.993790635e-05
5.375,15.0,-2.0,0.0
