eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
914008,ISC,ISC|ISC-MS,1914,10,3,22,7,7.36,0.62,30.0208,37.6292,14.99,7.741,27,15,,6.77,0.21
911975,ISC,ISC|ISC-MS,1922,8,13,0,9,55.16,0.6,27.5466,35.3242,12.73,6.243,49,15,,6.52,0.21
909771,ISC,ISC|ISC-MS,1926,3,18,14,6,15.92,0.49,29.5214,36.0207,9.206,5.393,23,15,,6.58,0.21
909893,ISC,ISC|ISC-MS,1926,6,26,19,46,33.02,0.4,26.7955,36.681,8.672,5.31,31,15,,6.58,0.236
908579,ISC,ISC|ISC-MS,1928,3,31,0,29,50.26,0.48,27.4943,38.2025,7.533,4.819,24,10,,6.33,0.275
905533,ISC,ISC|ISC-MS,1933,4,23,5,57,35.52,0.37,27.2922,36.7509,7.318,4.214,23,15,,6.21,0.21
902170,ISC,ISC|ISC-MS,1939,9,22,0,36,41.95,0.38,27.1644,39.2092,7.46,4.288,21,35,,6.21,0.236
897184,ISC,ISC|ISC-MS,1948,2,9,12,58,18.44,0.32,27.1529,35.6309,6.181,4.28,31,15,,6.71,0.236
896705,ISC,ISC|ISC-MS,1949,7,23,15,3,35.79,0.29,26.4468,38.712,5.304,3.724,30,15,,6.33,0.236
893317,ISC,ISC|ISC-MS,1952,8,24,20,44,19.29,0.6,27.8327,35.1431,9.646,6.587,57,15,,5.2,0.21
893452,ISC,ISC|ISC-MS,1952,9,23,20,30,53.55,0.58,29.6566,36.3922,8.26,5.352,48,15,,5.26,0.21
891652,ISC,ISC|ISC-MS,1953,5,2,18,37,40.46,0.58,26.6157,38.4572,6.788,5.522,130,15,,5.51,0.21
891841,ISC,ISC|ISC-MS,1953,7,22,15,9,36.31,0.47,28.5921,39.1233,5.147,4.366,174,10,,5.58,0.21
890593,ISC,ISC|ISC-MS,1954,5,1,15,24,55.57,0.54,27.3273,37.8508,7.081,5.62,65,15,,5.39,0.321
890595,ISC,ISC|ISC-MS,1954,5,1,20,53,28.07,0.51,27.1413,37.7351,6.737,5.608,51,15,,5.58,0.236
890606,ISC,ISC|ISC-MS,1954,5,3,13,29,45.83,0.5,27.3596,35.3397,7.964,5.935,58,25,,5.33,0.2
890931,ISC,ISC|ISC-MS,1954,8,5,20,39,13.64,0.49,27.572,35.9004,8.26,5.663,45,25,,5.14,0.21
889750,ISC,ISC|ISC-MS,1955,7,16,7,7,14.5,0.24,27.2841,37.6165,4.946,3.22,18,15,,6.4,0.21
889865,ISC,ISC|ISC-MS,1955,8,28,13,39,22.58,0.59,27.1837,37.327,7.855,6.469,17,15,,5.45,0.275
888445,ISC,ISC|ISC-MS,1956,7,9,3,11,45.15,0.23,25.9572,36.6637,5.05,3.462,22,20,,6.96,0.21
888457,ISC,ISC|ISC-MS,1956,7,9,20,13,57.29,0.48,26.1561,36.8309,7.954,5.677,31,15,,5.45,0.21
888460,ISC,ISC|ISC-MS,1956,7,9,21,28,42.85,0.69,25.8665,36.2272,10.94,7.653,27,15,,5.2,0.21
888463,ISC,ISC|ISC-MS,1956,7,10,3,1,29.24,0.53,26.2139,36.6914,7.761,6.499,67,15,,5.64,0.21
888535,ISC,ISC|ISC-MS,1956,7,30,5,41,4.62,0.53,25.7322,35.558,9.223,6.071,39,15,,5.7,0.275
888537,ISC,ISC|ISC-MS,1956,7,30,9,15,0.18,0.4,26.0949,35.7766,7.553,4.567,27,15,,6.02,0.21
888663,ISC,ISC|ISC-MS,1956,9,6,11,46,38.84,0.43,25.9608,35.6643,6.498,4.918,19,15,,5.7,0.21
888699,ISC,ISC|ISC-MS,1956,9,16,18,7,38.44,0.59,25.7777,35.516,10.66,5.776,29,15,,5.33,0.236
886445,ISC,ISC|ISC-MS,1957,4,24,19,10,13.87,0.23,28.8288,36.4933,5.006,3.318,22,35,,6.4,0.21
886448,ISC,ISC|ISC-MS,1957,4,25,2,25,41.16,0.23,28.699,36.405,4.975,3.488,20,35,,6.46,0.236
886465,ISC,ISC|ISC-MS,1957,4,26,6,33,37.4,0.32,28.9017,36.2726,5.317,3.739,33,25,,5.83,0.21
887445,ISC,ISC|ISC-MS,1957,10,30,1,43,3.5,0.41,27.3139,35.2049,7.352,4.55,34,15,,5.7,0.21
887449,ISC,ISC|ISC-MS,1957,10,30,7,30,21.89,0.38,27.7182,35.2377,7.328,4.216,26,15,,5.83,0.236
884107,ISC,ISC|ISC-MS,1958,4,3,7,18,37.51,0.34,27.5242,34.9017,5.374,4.55,25,15,,5.58,0.236
884247,ISC,ISC|ISC-MS,1958,4,22,10,2,47.18,0.56,30.442,36.6728,9.457,7.029,36,35,,5.2,0.21
884337,ISC,ISC|ISC-MS,1958,5,9,2,40,52.05,0.32,27.6973,36.5116,5.3,4.38,26,35,,5.64,0.21
885094,ISC,ISC|ISC-MS,1958,9,4,0,2,58.69,0.5,26.7214,36.4474,8.171,5.724,27,25,,5.39,0.2
885722,ISC,ISC|ISC-MS,1958,12,19,3,27,30.51,0.47,29.4571,37.7477,8.181,6.152,53,20,,5.07,0.21
881159,ISC,ISC|ISC-MS,1959,1,7,22,22,0.43,0.48,29.1665,36.6009,9.766,5.294,30,15,,5.2,0.2
881860,ISC,ISC|ISC-MS,1959,4,25,0,26,42.79,0.26,28.6323,36.9573,4.696,3.66,35,15,,5.83,0.21
881861,ISC,ISC|ISC-MS,1959,4,25,1,5,44.13,0.38,28.711,36.9693,6.341,5.005,49,15,,5.45,0.21
882060,ISC,ISC|ISC-MS,1959,5,20,16,36,54.51,0.56,26.493,36.6255,10.01,6.864,56,15,,5.07,0.21
883310,ISC,ISC|ISC-MS,1959,11,19,14,0,31.85,0.38,26.6137,38.8167,6.127,4.971,34,20,,5.51,0.2
876618,ISC,ISC|ISC-MS,1961,5,23,2,45,19.04,0.22,28.5938,36.6926,4.688,3.52,26,35,,6.27,0.2
874646,ISC,ISC|ISC-MS,1962,4,28,12,43,52.29,0.32,26.7547,35.9778,5.997,3.909,33,65,,5.58,0.236
875315,ISC,ISC|ISC-MS,1962,9,10,9,36,25.21,0.33,26.78,34.5867,6.015,4.262,25,25,,5.58,0.236
871958,ISC,ISC|ISC-MS,1963,3,11,7,27,23.38,0.3,29.2184,37.943,5.666,4.136,29,30,,5.64,0.21
813187,ISC,ISC|MOS-MS,1969,1,14,23,12,6.2,0.74,29.19,36.11,2.4,1.793,,22,5.5,6.39,0.3
811440,ISC,ISC|MOS-MS,1969,3,23,21,8,42.1,0.83,28.48,39.14,1.551,1.8,90,9,5.2,6.39,0.3
811451,ISC,ISC|MOS-MS,1969,3,24,1,59,34,0.66,28.51,39.11,1.979,2.1,90,30,5.2,5.59,0.3
811456,ISC,ISC|MOS-MS,1969,3,24,8,13,5.4,0.55,28.41,39.02,4.483,4.4,90,43,6.8,5.19,0.3
811514,ISC,ISC|MOS-MS,1969,3,25,13,21,34.2,0.47,28.44,39.25,2.323,2.7,90,37,4.1,6.39,0.3
811616,ISC,ISC|MOS-MS,1969,3,28,1,48,29.5,0.93,28.46,38.55,1.736,2,90,4,5.7,6.86,0.3
811630,ISC,ISC|MOS-MS,1969,3,28,10,2,17.4,0.35,28.45,39.13,2.498,2.4,90,37,3.7,5.19,0.3
809602,ISC,ISC|MOS-MS,1969,4,6,3,49,33.9,0.54,26.41,38.47,1.48,1.9,90,16,4,6.07,0.3
809895,ISC,ISC|MOS-MS,1969,4,16,4,54,12.8,0.61,27.9,35.3,3.534,4.1,90,55,5.7,5.59,0.3
