eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
914008,ISC,1914,10,3,22,7,7.36,0.62,30.0208,37.6292,14.99,7.741,27,15,nan,6.77,0.21
911975,ISC,1922,8,13,0,9,55.16,0.6,27.5466,35.3242,12.73,6.243,49,15,nan,6.52,0.21
909771,ISC,1926,3,18,14,6,15.92,0.49,29.5214,36.0207,9.206,5.393,23,15,nan,6.58,0.21
909893,ISC,1926,6,26,19,46,33.02,0.4,26.7955,36.681,8.672,5.31,31,15,nan,6.58,0.236
908579,ISC,1928,3,31,0,29,50.26,0.48,27.4943,38.2025,7.533,4.819,24,10,nan,6.33,0.275
905533,ISC,1933,4,23,5,57,35.52,0.37,27.2922,36.7509,7.318,4.214,23,15,nan,6.21,0.21
902170,ISC,1939,9,22,0,36,41.95,0.38,27.1644,39.2092,7.46,4.288,21,35,nan,6.21,0.236
897184,ISC,1948,2,9,12,58,18.44,0.32,27.1529,35.6309,6.181,4.28,31,15,nan,6.71,0.236
896705,ISC,1949,7,23,15,3,35.79,0.29,26.4468,38.712,5.304,3.724,30,15,nan,6.33,0.236
893317,ISC,1952,8,24,20,44,19.29,0.6,27.8327,35.1431,9.646,6.587,57,15,nan,5.2,0.21
893452,ISC,1952,9,23,20,30,53.55,0.58,29.6566,36.3922,8.26,5.352,48,15,nan,5.26,0.21
891652,ISC,1953,5,2,18,37,40.46,0.58,26.6157,38.4572,6.788,5.522,130,15,nan,5.51,0.21
891841,ISC,1953,7,22,15,9,36.31,0.47,28.5921,39.1233,5.147,4.366,174,10,nan,5.58,0.21
890595,ISC,1954,5,1,20,53,28.07,0.51,27.1413,37.7351,6.737,5.608,51,15,nan,5.58,0.236
890606,ISC,1954,5,3,13,29,45.83,0.5,27.3596,35.3397,7.964,5.935,58,25,nan,5.33,0.2
890931,ISC,1954,8,5,20,39,13.64,0.49,27.572,35.9004,8.26,5.663,45,25,nan,5.14,0.21
889750,ISC,1955,7,16,7,7,14.5,0.24,27.2841,37.6165,4.946,3.22,18,15,nan,6.4,0.21
888445,ISC,1956,7,9,3,11,45.15,0.23,25.9572,36.6637,5.05,3.462,22,20,nan,6.96,0.21
888537,ISC,1956,7,30,9,15,0.18,0.4,26.0949,35.7766,7.553,4.567,27,15,nan,6.02,0.21
886448,ISC,1957,4,25,2,25,41.16,0.23,28.699,36.405,4.975,3.488,20,35,nan,6.46,0.236
887449,ISC,1957,10,30,7,30,21.89,0.38,27.7182,35.2377,7.328,4.216,26,15,nan,5.83,0.236
884107,ISC,1958,4,3,7,18,37.51,0.34,27.5242,34.9017,5.374,4.55,25,15,nan,5.58,0.236
884247,ISC,1958,4,22,10,2,47.18,0.56,30.442,36.6728,9.457,7.029,36,35,nan,5.2,0.21
884337,ISC,1958,5,9,2,40,52.05,0.32,27.6973,36.5116,5.3,4.38,26,35,nan,5.64,0.21
885094,ISC,1958,9,4,0,2,58.69,0.5,26.7214,36.4474,8.171,5.724,27,25,nan,5.39,0.2
885722,ISC,1958,12,19,3,27,30.51,0.47,29.4571,37.7477,8.181,6.152,53,20,nan,5.07,0.21
881159,ISC,1959,1,7,22,22,0.43,0.48,29.1665,36.6009,9.766,5.294,30,15,nan,5.2,0.2
881860,ISC,1959,4,25,0,26,42.79,0.26,28.6323,36.9573,4.696,3.66,35,15,nan,5.83,0.21
882060,ISC,1959,5,20,16,36,54.51,0.56,26.493,36.6255,10.01,6.864,56,15,nan,5.07,0.21
883310,ISC,1959,11,19,14,0,31.85,0.38,26.6137,38.8167,6.127,4.971,34,20,nan,5.51,0.2
876618,ISC,1961,5,23,2,45,19.04,0.22,28.5938,36.6926,4.688,3.52,26,35,nan,6.27,0.2
874646,ISC,1962,4,28,12,43,52.29,0.32,26.7547,35.9778,5.997,3.909,33,65,nan,5.58,0.236
875315,ISC,1962,9,10,9,36,25.21,0.33,26.78,34.5867,6.015,4.262,25,25,nan,5.58,0.236
871958,ISC,1963,3,11,7,27,23.38,0.3,29.2184,37.943,5.666,4.136,29,30,nan,5.64,0.21
813187,ISC,1969,1,14,23,12,6.2,0.74,29.19,36.11,2.4,1.793,nan,22,5.5,6.39,0.3
811616,ISC,1969,3,28,1,48,29.5,0.93,28.46,38.55,1.736,2,90,4,5.7,6.86,0.3
809602,ISC,1969,4,6,3,49,33.9,0.54,26.41,38.47,1.48,1.9,90,16,4,6.07,0.3
808515,ISC,1969,5,1,20,6,45.4,0.81,27.73,35.39,5,3.889,nan,67,7.4,5.75,0.3
805810,ISC,1969,8,14,21,51,5.3,0.53,27.87,39.52,7.02,5.1,90,21,nan,5.27,0.3
804121,ISC,1969,9,4,19,25,26.6,0.71,27.17,35.11,5.2,3.452,nan,43,6.9,5.59,0.3
798506,ISC,1970,3,28,21,2,23.5,0.57,29.51,39.21,1.464,1.9,90,18,4.2,7.18,0.3
798587,ISC,1970,3,29,14,37,19.6,0.58,27.83,38.74,3.986,4.2,90,56,6.5,5.19,0.3
790102,ISC,1970,11,11,20,58,11.9,0.47,28.24,35.99,3,2.338,nan,35,4.7,5.35,0.3
787840,ISC,1971,1,2,3,25,35.5,1.84,29.0359,37.0651,3.814,3.6,90,6.6,12.4,4.5,0.22
787841,ISC,1971,1,2,3,54,20.06,1.38,29.1469,36.8028,13.73,13.2,90,59.7,21.6,4.41,0.22
788000,ISC,1971,1,8,22,10,20.28,0.73,26.9123,35.046,7,5.6,nan,62.7,9.9,4.41,0.22
788305,ISC,1971,1,16,15,9,53.33,0.31,26.8952,36.6326,3.314,3.9,90,156.9,3.8,4.13,0.22
788476,ISC,1971,1,23,11,12,24.61,0.31,26.3096,36.6131,3.5,2.609,nan,0,nan,4.03,0.22
788514,ISC,1971,1,24,15,27,19.55,0.76,26.6592,36.9516,9.1,6.865,nan,0,nan,3.85,0.22
788532,ISC,1971,1,25,8,15,16.4,2.43,27.0988,36.1878,24.2,19.31,nan,0,nan,4.13,0.22
788533,ATH,1971,1,25,8,25,20,nan,27.3,36.6,nan,nan,nan,15.01,nan,4.13,0.22
788694,ISC,1971,1,29,14,38,15.09,2.06,26.9817,36.5701,21.7,15.92,nan,0,nan,4.03,0.22
787609,ISC,1971,2,22,14,27,44.93,0.33,30.2979,37.2411,2.5,1.664,nan,46.9,3.5,5.19,0.3
784339,ISC,1971,5,12,6,25,15.37,0.9,29.7161,37.6402,2.368,3,90,30.2,6.7,5.9,0.22
784598,ISK,1971,5,16,14,41,49,nan,26.4,38.5,nan,nan,nan,15.01,nan,3.57,0.22
784936,ISK,1971,5,25,5,43,27,nan,29.7,39,nan,nan,nan,15.01,nan,6.27,0.225
783587,ISK,1971,6,19,0,27,14,nan,29.4,37.15,nan,nan,nan,15.01,nan,4.97,0.225
781862,ISK,1971,7,3,4,5,53.8,nan,27.8,35.1,nan,nan,nan,15.01,nan,5.27,0.3
779092,ISC,1971,10,6,1,46,38.79,0.27,30.1435,38.3197,2.974,3.6,90,19,nan,4.87,0.3
779184,ISC,1971,10,9,22,29,14.11,2.6,30.3271,37.2403,4.474,4.4,90,10.5,17.4,4.79,0.3
777053,ISC,1972,1,20,2,15,6.88,0.63,27.2285,36.6376,3.587,4.2,90,34.2,6.6,4.78,0.225
775969,ISC,1972,2,4,18,57,3.42,2.2,26.9211,36.1996,23.43,23.8,90,0,nan,4.22,0.22
776193,ISC,1972,2,14,4,4,20.68,2.83,27.2435,36.5982,29.1,20.34,nan,0,nan,4.5,0.22
776243,ISC,1972,2,16,12,48,29.44,0.43,25.5583,38.4465,3.932,4.2,90,0,nan,4.03,0.22
776281,ISC,1972,2,17,19,13,28.67,1.28,26.2431,34.7691,4.8,3.738,nan,1.7,8.2,4.41,0.22
776285,ISC,1972,2,17,23,55,25.47,2.22,27.5067,36.4686,20.29,24.5,90,0,nan,4.03,0.22
776344,ATH,1972,2,20,13,48,46,nan,24.9,36.9,nan,nan,nan,15.01,nan,3.38,0.22
776352,ISC,1972,2,20,19,33,33.1,nan,25.2132,36.6252,nan,nan,nan,0,nan,3.29,0.22
774961,ISC,1972,3,1,14,26,35.06,2.86,27.1287,37.4878,24.68,28.4,90,0,nan,3.94,0.22
775274,ISC,1972,3,10,15,52,55.47,0.76,25.1181,36.1036,8.968,9,90,100,nan,3.85,0.22
775276,ISC,1972,3,10,22,13,17.84,0.23,26.9758,36.5478,2.9,3,90,149.8,5.7,4.03,0.22
775356,ISC,1972,3,14,14,5,46.58,0.26,29.4715,39.3226,1.485,1.8,90,37.7,2.6,5.62,0.22
775525,ISC,1972,3,21,1,31,5.95,0.69,28.9429,34.6924,6.454,7.2,90,52.7,6.8,4.87,0.22
775675,ISC,1972,3,25,5,56,0.5,1.77,27.8723,36.8602,21.47,15.6,90,0,nan,4.13,0.22
